КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
GF19436,0.0037288906,4050.0,0.3000000119209289,0,0.2199999988079071,0,0.2199999988079071,0,,0,,0,,0,0.0
GF30166,0.040065236,2199.0,0.2800000011920929,0,0.2800000011920929,0,0.2300000041723251,0,1.0,0,1.0,0,0.0,0,0.0
GF20759,0.014317301,2599.0,0.2349999994039535,0,0.135000005364418,0,0.25,0,,0,,0,,0,0.0
GF18165,1.0977591e-06,16999.0,0.6000000238418579,0,0.3549999892711639,0,0.6299999952316284,0,,0,,0,,0,0.0
GF18705,0.003603067,699.0,0.3199999928474426,0,0.1000000014901161,0,0.1000000014901161,0,,0,,0,,0,0.0
GF19438,0.004660799,2099.0,0.25,0,0.1199999973177909,0,0.25,0,,0,,0,,0,0.0
MA10209,0.0081746755,350.0,0.1700000017881393,0,0.1700000017881393,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.010325192,399.0,0.1700000017881393,0,0.1700000017881393,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.017551703,350.0,0.2000000029802322,0,0.2000000029802322,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.0081746755,499.0,0.2000000029802322,0,0.2000000029802322,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.010325192,399.0,0.2000000029802322,0,0.2000000029802322,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.025436928,299.0,0.1599999964237213,0,0.1599999964237213,0,0.0049999998882412,0,,0,,0,,0,0.0
MA10209,0.0038736423,250.0,0.1899999976158142,0,0.1899999976158142,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,1.1624413e-06,920.0,0.2599999904632568,0,0.2599999904632568,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.006024159,360.0,0.1700000017881393,0,0.1700000017881393,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.01677674,450.0,0.2000000029802322,0,0.2000000029802322,0,0.0099999997764825,0,,0,,0,,0,0.0
